CBSAFP2,zone_name,is_nonmsa,n_bg,SUM_TotPop,D1B_weighted,D1D_weighted,D2A_weighted,D3B_weighted,pct_near_transit,D5AR_weighted,pct_white,pct_male,avg_hh_size,Veh_Within,ATF_Within,atf_share_within,atf_share_total
40900,"Sacramento--Roseville--Arden-Arcade, CA",0,1372,2291738,9.404332009966929,6.016558614644125,0.4984699121869405,101.43639343062232,68.45350559269863,73304.32310979701,52.25144431299061,48.90020639211047,2.786476568609757,2356257877,385282967.0,0.140535191311562,0.140095471702348
40980,"Saginaw, MI",0,173,192778,3.1444444901862325,2.302506681742831,0.4779553790911236,51.56045225031319,0.0,21026.54324144871,69.35789095041731,48.549428894646574,2.4301749585091152,146892185,21599627.0,0.128193927,0.124882543507519
41420,"Salem, OR",0,233,416980,6.69536488109735,4.613737978827064,0.556718838515668,74.04128418865669,69.29564967144707,22168.83359633556,67.94557559182167,49.642280885212855,2.849328920137789,313496819,59271080.0,0.159002639870554,0.15725680219881
41500,"Salinas, CA",0,233,433212,12.96537423986464,5.892118703551263,0.5206668426198795,93.25224199903816,78.27414753053932,19119.491830789542,29.934242403267117,50.99120924759466,3.40851716409107,371291810,66280913.0,0.151474051,0.15032184329006
41540,"Salisbury, MD-DE",0,273,399013,1.689415119682061,1.860679156207669,0.5418796573281363,33.07663367105528,13.046692714272467,7744.172320200094,71.0971596149519,48.58005474547311,2.525191535594088,319255219,42710900.0,0.117996955400127,0.116573474805697
41620,"Salt Lake City, UT",0,644,1185990,8.90173642768958,6.497950371388533,0.5578149919479596,108.07864066946256,77.16894746161435,88117.08764913701,71.72973823585001,50.2091931762643,3.0383229867087613,1151035405,201455291.0,0.148951332231568,0.147984125410993
41660,"San Angelo, TX",0,99,118990,4.118586125445911,2.8562455590168696,0.5168515240408466,80.95166313467361,0.0,13170.41144634003,53.49564403123589,49.78429175793856,2.7185653241203744,109742311,11353654.0,0.093757492,0.093661616
41700,"San Antonio-New Braunfels, TX",0,1335,2426204,7.010861209805086,4.519271340175712,0.4642264019842682,65.51841599060327,54.23307355853012,111127.4960745263,33.68484555300173,49.458044812541,3.042137957810276,1995805422,246566886.0,0.109958049838707,0.109738657345028
41740,"San Diego-Carlsbad, CA",0,1795,3302833,14.629087822793128,8.992784110558103,0.487310085063824,101.98526964038297,68.67849509799618,96895.75807677834,45.55858691892489,50.346147385778295,2.9468712842779525,3392675908,584383488.0,0.14693858698408,0.146810738139114
41860,"San Francisco-Oakland-Hayward, CA",0,2903,4673221,23.521105470290053,18.60715738279037,0.5012505318085728,138.47537997428756,72.57889151829113,113121.14150818031,39.5961187169934,49.46655543577862,2.760172021546726,4042738227,821574501.0,0.168898372070292,0.16784155944016
